re_code,m_code,g_code,reservation_no,r_code,booker_name,reserved_at,check_in_date,check_out_date,original_price,discount_rate,coupon_used,final_price,cancel,cancel_date,review_status
1,1,0,R-2025-10-01-a1b2c3d4,12,user1,2025-10-01 8:20,2025-10-03,2025-10-04,122000,10,0,109800,1,2025-10-02 8:20,0
2,0,1,R-20251001-a1b2c3d4,45,guest1,2025-10-01 12:14,2025-10-03,2025-10-07,720000,10,0,648000,0,,0
3,2,0,R-2025-10-01-e5f6g7h8,47,user2,2025-10-01 18:20,2025-10-03,2025-10-05,248000,10,0,223200,0,,1
4,3,0,R-2025-10-02-i9j0k1l2,88,user3,2025-10-02 8:20,2025-10-04,2025-10-07,291000,10,0,261900,1,2025-10-03 8:20,0
5,0,2,R-20251002-e5f6g7h8,12,guest2,2025-10-02 8:21,2025-10-04,2025-10-07,366000,10,0,329400,0,,0
6,4,0,R-2025-10-02-m3n4o5p6,135,user4,2025-10-02 18:20,2025-10-04,2025-10-06,244000,10,0,219600,0,,1
7,5,0,R-2025-10-03-q7r8s9t0,176,user5,2025-10-03 8:20,2025-10-05,2025-10-06,67000,10,0,60300,0,,1
8,6,0,R-2025-10-03-u1v2w3x4,203,user6,2025-10-03 18:20,2025-10-05,2025-10-08,492000,10,0,442800,0,,1
9,0,3,R-20251003-i9j0k1l2,78,guest3,2025-10-03 22:41,2025-10-05,2025-10-09,748000,10,0,673200,1,2025-10-04 12:11,0
10,0,4,R-20251004-m3n4o5p6,101,guest4,2025-10-04 3:18,2025-10-06,2025-10-10,544000,10,0,489600,0,,0
11,7,0,R-2025-10-04-y5z6a7b8,57,user7,2025-10-04 8:20,2025-10-06,2025-10-08,304000,10,0,273600,1,2025-10-05 8:20,0
12,8,0,R-2025-10-04-c9d0e1f2,319,user8,2025-10-04 18:20,2025-10-06,2025-10-07,54000,10,0,48600,0,,1
13,9,0,R-2025-10-05-g3h4i5j6,402,user9,2025-10-05 8:20,2025-10-07,2025-10-10,735000,0,0,735000,0,,1
14,0,5,R-20251005-q7r8s9t0,9,guest5,2025-10-05 16:33,2025-10-07,2025-10-11,808000,10,0,727200,0,,0
15,10,0,R-2025-10-05-k7l8m9n0,245,user10,2025-10-05 18:20,2025-10-07,2025-10-09,357800,0,0,357800,0,,1
16,11,0,R-2025-10-06-o1p2q3r4,90,user11,2025-10-06 8:20,2025-10-08,2025-10-09,121000,10,0,108900,0,,1
17,0,6,R-20251006-u1v2w3x4,67,guest6,2025-10-06 11:45,2025-10-08,2025-10-12,604000,10,0,543600,0,,0
18,12,0,R-2025-10-06-s5t6u7v8,154,user12,2025-10-06 18:20,2025-10-08,2025-10-10,304000,10,0,273600,0,,1
19,13,0,R-2025-10-07-w9x0y1z2,211,user13,2025-10-07 8:20,2025-10-09,2025-10-12,201000,10,0,180900,0,,1
20,0,7,R-20251007-y5z6a7b8,210,guest7,2025-10-07 9:22,2025-10-09,2025-10-13,656800,10,0,591120,0,,0
21,14,0,R-2025-10-07-a3b4c5d6,333,user14,2025-10-07 18:20,2025-10-09,2025-10-10,119000,10,0,107100,0,,1
22,15,0,R-2025-10-08-e7f8g9h0,68,user15,2025-10-08 8:20,2025-10-10,2025-10-12,326000,10,0,293400,1,2025-10-09 8:20,0
23,16,0,R-2025-10-08-i1j2k3l4,397,user16,2025-10-08 18:20,2025-10-10,2025-10-13,729000,10,0,656100,1,2025-10-09 18:20,0
24,0,8,R-20251008-c9d0e1f2,33,guest8,2025-10-08 19:55,2025-10-10,2025-10-13,534000,10,0,640800,0,,0
25,0,9,R-20251009-g3h4i5j6,88,guest9,2025-10-09 6:11,2025-10-11,2025-10-14,291000,0,0,291000,0,,0
26,17,0,R-2025-10-09-m5n6o7p8,124,user17,2025-10-09 8:20,2025-10-11,2025-10-12,91000,0,0,91000,0,,1
27,18,0,R-2025-10-09-q9r0s1t2,256,user18,2025-10-09 18:20,2025-10-11,2025-10-13,318400,10,0,286560,0,,1
28,19,0,R-2025-10-10-u3v4w5x6,301,user19,2025-10-10 8:20,2025-10-12,2025-10-15,456000,10,0,410400,0,,1
29,0,10,R-20251010-k7l8m9n0,120,guest10,2025-10-10 14:02,2025-10-12,2025-10-16,572000,10,0,514800,0,,0
30,20,0,R-2025-10-10-y7z8a9b0,175,user20,2025-10-10 18:20,2025-10-12,2025-10-13,55000,10,0,49500,0,,1
31,21,0,R-2025-10-11-c1d2e3f4,220,user21,2025-10-11 8:20,2025-10-13,2025-10-15,376000,10,0,338400,0,,1
32,22,0,R-2025-10-11-g5h6i7j8,73,user22,2025-10-11 18:20,2025-10-13,2025-10-16,423000,0,0,423000,0,,1
33,0,11,R-20251011-o1p2q3r4,56,guest11,2025-10-11 21:30,2025-10-13,2025-10-17,560000,10,0,504000,0,,0
34,0,12,R-20251012-s5t6u7v8,240,guest12,2025-10-12 7:41,2025-10-14,2025-10-18,621600,10,0,559440,0,,0
35,23,0,R-2025-10-12-k9l0m1n2,184,user23,2025-10-12 8:20,2025-10-14,2025-10-15,141800,0,0,141800,0,,1
36,24,0,R-2025-10-12-o3p4q5r6,264,user24,2025-10-12 18:20,2025-10-14,2025-10-16,416000,10,0,374400,0,,1
37,25,0,R-2025-10-13-s7t8u9v0,39,user25,2025-10-13 8:20,2025-10-15,2025-10-18,468000,10,0,421200,0,,1
38,0,13,R-20251013-w9x0y1z2,18,guest13,2025-10-13 10:17,2025-10-15,2025-10-18,471000,10,0,423900,0,,0
39,26,0,R-2025-10-13-w1x2y3z4,142,user26,2025-10-13 18:20,2025-10-15,2025-10-16,76000,10,0,68400,0,,1
40,0,14,R-20251014-a3b4c5d6,305,guest14,2025-10-14 2:19,2025-10-16,2025-10-20,440000,10,0,396000,1,2025-10-15 10:22,0
41,27,0,R-2025-10-14-a5b6c7d8,318,user27,2025-10-14 8:20,2025-10-16,2025-10-18,444000,10,0,399600,0,,1
42,28,0,R-2025-10-14-e9f0g1h2,199,user28,2025-10-14 18:20,2025-10-16,2025-10-19,249000,10,0,224100,0,,1
43,29,0,R-2025-10-15-i3j4k5l6,352,user29,2025-10-15 8:20,2025-10-17,2025-10-18,189000,10,0,170100,0,,1
44,30,0,R-2025-10-15-m7n8o9p0,81,user30,2025-10-15 18:20,2025-10-17,2025-10-19,212000,0,0,212000,1,2025-10-16 18:20,0
45,0,15,R-20251015-e7f8g9h0,95,guest15,2025-10-15 18:29,2025-10-17,2025-10-21,728000,10,0,655200,0,,0
46,31,0,R-2025-10-16-q1r2s3t4,167,user31,2025-10-16 8:20,2025-10-18,2025-10-21,570000,10,0,513000,1,2025-10-17 8:20,0
47,0,16,R-20251016-i1j2k3l4,7,guest16,2025-10-16 13:05,2025-10-18,2025-10-22,712000,10,0,640800,0,,0
48,32,0,R-2025-10-16-u5v6w7x8,276,user32,2025-10-16 18:20,2025-10-18,2025-10-19,137800,10,0,124020,1,2025-10-17 18:20,0
49,33,0,R-2025-10-17-y9z0a1b2,95,user33,2025-10-17 8:20,2025-10-21,2025-10-23,364000,10,0,327600,1,2025-10-18 8:20,0
50,0,17,R-20251017-m5n6o7p8,399,guest17,2025-10-17 9:55,2025-10-19,2025-10-23,1068000,10,0,961200,0,,0
51,34,0,R-2025-10-17-c3d4e5f6,340,user34,2025-10-17 18:20,2025-10-19,2025-10-22,378000,10,0,340200,0,,1
52,35,0,R-2025-10-18-g7h8i9j0,410,user35,2025-10-18 8:20,2025-10-20,2025-10-21,245000,0,0,245000,0,,1
